0 24 48 72 96 120 144 168 192 216 240 264 288 312 336 360 384 408 432 456 480 504 528 552
1 25 49 73 97 121 145 169 193 217 241 265 289 313 337 361 385 409 433 457 481 505 529 553
2 26 50 74 98 122 146 170 194 218 242 266 290 314 338 362 386 410 434 458 482 506 530 554
3 27 51 75 99 123 147 171 195 219 243 267 291 315 339 363 387 411 435 459 483 507 531 555
4 28 52 76 100 124 148 172 196 220 244 268 292 316 340 364 388 412 436 460 484 508 532 556
5 29 53 77 101 125 149 173 197 221 245 269 293 317 341 365 389 413 437 461 485 509 533 557
6 30 54 78 102 126 150 174 198 222 246 270 294 318 342 366 390 414 438 462 486 510 534 558
7 31 55 79 103 127 151 175 199 223 247 271 295 319 343 367 391 415 439 463 487 511 535 559
8 32 56 80 104 128 152 176 200 224 248 272 296 320 344 368 392 416 440 464 488 512 536 560
9 33 57 81 105 129 153 177 201 225 249 273 297 321 345 369 393 417 441 465 489 513 537 561
10 34 58 82 106 130 154 178 202 226 250 274 298 322 346 370 394 418 442 466 490 514 538 562
11 35 59 83 107 131 155 179 203 227 251 275 299 323 347 371 395 419 443 467 491 515 539 563
12 36 60 84 108 132 156 180 204 228 252 276 300 324 348 372 396 420 444 468 492 516 540 564
13 37 61 85 109 133 157 181 205 229 253 277 301 325 349 373 397 421 445 469 493 517 541 565
14 38 62 86 110 134 158 182 206 230 254 278 302 326 350 374 398 422 446 470 494 518 542 566
15 39 63 87 111 135 159 183 207 231 255 279 303 327 351 375 399 423 447 471 495 519 543 567
16 40 64 88 112 136 160 184 208 232 256 280 304 328 352 376 400 424 448 472 496 520 544 568
17 41 65 89 113 137 161 185 209 233 257 281 305 329 353 377 401 425 449 473 497 521 545 569
18 42 66 90 114 138 162 186 210 234 258 282 306 330 354 378 402 426 450 474 498 522 546 570
19 43 67 91 115 139 163 187 211 235 259 283 307 331 355 379 403 427 451 475 499 523 547 571
20 44 68 92 116 140 164 188 212 236 260 284 308 332 356 380 404 428 452 476 500 524 548 572
21 45 69 93 117 141 165 189 213 237 261 285 309 333 357 381 405 429 453 477 501 525 549 573
22 46 70 94 118 142 166 190 214 238 262 286 310 334 358 382 406 430 454 478 502 526 550 574
23 47 71 95 119 143 167 191 215 239 263 287 311 335 359 383 407 431 455 479 503 527 551 575
